PROCESSKEY;MATMREA;COORD_TYPE;/BIC/ZCMVTECH;OBJVERS;CHANGED;/BIC/ZCMOVAREA;/BIC/ZCSORTARE;/BIC/ZCSORTDSC;/BIC/ZCRPRTCTG;/BIC/ZCMVRSDSC;/BIC/ZCSORTIND;/BIC/ZCIPMMNAT;/BIC/ZCCONSHOF
105;9010;;702;A;;UTILISATION;2;170;PERTE;3PL;260;LOSS_ON_RETURN;X
105;9010;;704;A;;UTILISATION;2;170;PERTE;3PL;260;LOSS_ON_RETURN;
105;9010;;706;A;;UTILISATION;2;170;PERTE;3PL;260;LOSS_ON_RETURN;
105;9010;;708;A;;UTILISATION;2;170;PERTE;3PL;260;LOSS_ON_RETURN;
105;9011;;702;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;X
105;9011;;704;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;
105;9011;;706;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;
105;9011;;708;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;
105;9012;;702;A;;UTILISATION;2;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;X
105;9012;;704;A;;UTILISATION;2;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
105;9012;;706;A;;UTILISATION;2;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
105;9012;;708;A;;UTILISATION;2;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
105;9013;;702;A;;UTILISATION;2;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;X
105;9013;;704;A;;UTILISATION;2;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
105;9013;;706;A;;UTILISATION;2;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
105;9013;;708;A;;UTILISATION;2;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
105;9014;;702;A;;UTILISATION;2;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;X
105;9014;;704;A;;UTILISATION;2;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
105;9014;;706;A;;UTILISATION;2;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
105;9014;;708;A;;UTILISATION;2;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
105;9015;;702;A;;UTILISATION;2;111;ACHAT;;600;STK_DISCREPANCY;X
105;9015;;708;A;;UTILISATION;2;111;ACHAT;;600;STK_DISCREPANCY;
105;9901;;711;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;X
105;9903;;711;A;;UTILISATION;2;500;INVENTAIRE;;600;STK_DISCREPANCY;X
106;0000;;551;A;;UTILISATION;2;171;PERTE;;900;ZTEC;X
106;0000;;552;A;;UTILISATION;2;171;PERTE;;900;ZTEC;X
106;0000;;555;A;;UTILISATION;2;171;PERTE;;900;ZTEC;
106;0000;;561;A;;DISPONIBLE;1;100;INIT;;100;INIT_STK;
106;0000;;562;A;;DISPONIBLE;1;100;INIT;;100;INIT_STK;
110;0000;;301;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;302;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;303;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;304;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;309;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;311;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;312;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;313;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;314;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;321;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;322;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;323;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;325;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;326;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;343;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;344;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;349;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0000;;350;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
110;0001;;344;A;;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
